Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00023501384,-7.932573e-06,-0.0002789828,0.00014422639,0.9481821837142231,5,0.9960155471487974,0.9481821837142231,0.86623949792235,0.04933885551585641,0.002801855078243369,0.0018963643674284455,0.0004077739512270167,0.000614025330264755,5,2500,500,500.0,500,0.0,0.99967605,0.0009857788,-0.9992857,0.62898517,0.9735042000975991,5,1.0656989342223893,0.9735042000975991,0.8067889748221592,0.09338951491319203,0.0034205988680403136,0.0019470084001951982,0.00042272800772341905,0.0007236752656287804,12,5800,500,500.0,500,0.0,5800,0.008967851987108588,129.5522475404432,86.72775420802645,36.09636537800543,0.007250839960761368,6.707436717406381,0.004443727026227862,133.0366880124784,2.881803084164858e-05,1.0,-0.0,-6.5988884,-8.784105,-10.543385,0.8261565,-8.78369,10.908904,8.698677,6.788781,0.85596853,0.001247904,-0.00018434408,-0.0016377185,0.00056372414,0.0015480587,0.0003762903,-0.00071404397,0.00041279997,76.40292,76.39311,1000,0.0004104467,4.4409853e-06,-0.000471922,0.00016043674,0.0011916211,0.00010037034,-0.0009094438,0.00050325296,1.0011923,1.0001005,0.99909097,0.00050335936
1,1,0.021780819,0.0009296664,-0.011847103,0.010538783,0.9304880310626968,5,0.9799022037430513,0.9304880310626968,0.9065666099963585,0.026103840055679863,0.0027692799346564424,0.001860976062125394,0.0004898878996754424,0.0006083521665269499,10,5000,500,500.0,500,0.0,0.99957186,-0.00060249044,-0.9988774,0.59357655,0.9458949309278232,5,1.1864093204982589,0.9458949309278232,0.7153919551110649,0.19442157512994615,0.0037720180877198694,0.0018917898618556464,0.0004522348704474349,0.0007883828053413737,17,8300,500,500.0,500,0.0,8300,0.00883790000807494,78.3042340502725,35.777645657013636,35.79676149098668,0.0072532580234110355,6.709758972225245,0.003948249970562756,211.61028773133876,2.8522044885903597e-05,0.7407360672950745,-6.567261695861816,-7.8936815,-8.882782,-10.342454,0.43629846,-36.6941,31.338722,30.230438,28.90215,0.44745806,31.103071,30.166672,28.911642,0.38860548,31.00171,30.16653,28.91063,0.36537352,0.07435374,0.07786031,2000,0.03362582,0.001035338,-0.038891826,0.011587442,-0.059583887,-0.11704774,-0.17836568,0.01503173,0.9421565,0.8896427,0.8366364,0.013267286
2,2,0.020769008,-0.00077885896,-0.014247303,0.008405204,0.9276302053879977,5,0.9709684786981178,0.9276302053879977,0.8580681397053985,0.03841061841235651,0.00275192238506699,0.0018552604107759955,0.0003914469582019269,0.0006111599921432192,15,7500,500,500.0,500,0.0,0.99795574,0.0027659812,-0.99933785,0.5904,0.9174764895547535,5,1.179489589913293,0.9174764895547535,0.7862539235100121,0.14221105209146948,0.0034211055432140543,0.0018349529791095076,0.0004657143326700114,0.0006274720265714418,22,10800,500,500.0,500,0.0,10800,0.008893538964912295,79.82164424879011,35.7171569049824,37.37806535104755,0.007190072035882622,6.706368809798732,0.003940237977076322,291.70447074621916,2.9333983547985554e-05,0.5487221479415894,-13.151278495788574,-8.029133,-8.912846,-9.971216,0.3700764,-57.95844,54.832928,53.14132,50.692566,0.72920924,54.862198,53.089283,50.496185,0.7476298,54.85918,53.09841,50.495193,0.72676206,0.0605961,0.056530494,3000,0.05357587,-0.0007536482,-0.044848785,0.009443897,-0.0799186,-0.1294003,-0.15580909,0.008641095,0.9231915,0.8786551,0.85572255,0.0076291002
3,3,0.012966808,-0.00053381675,-0.016865976,0.0073142317,0.9245353721022008,5,0.9853155129655375,0.9245353721022008,0.8628780362546756,0.044312848552280196,0.002780411208128601,0.0018490707442044027,0.0004005942569637072,0.0006127936860568958,20,10000,500,500.0,500,0.0,0.9983042,-0.0028283705,-0.9990189,0.5948412,1.0214420865026599,5,1.4054618592552603,1.0214420865026599,0.7307149010339676,0.25210911401454295,0.004267781205681235,0.0020428841730053197,0.00045691903130088134,0.0008918812313102118,27,13300,500,500.0,500,0.0,13300,0.008621513959951699,79.76919111819007,35.825957652006764,37.24828566896031,0.007250499969813973,6.675118681276217,0.003927976009435952,371.74637804343365,2.9126007575541735e-05,0.4065019190311432,-19.679317474365234,-7.842949,-8.861858,-10.105687,0.43635738,-72.660194,74.4508,69.16365,66.92407,1.0349351,74.63655,69.06378,66.87518,1.0480939,74.54287,69.09636,66.90271,1.0339041,0.050611462,0.045735024,4000,0.04582674,-0.00046692777,-0.023647768,0.0079504615,-0.06389735,-0.11845836,-0.14767827,0.01616926,0.9381013,0.88840586,0.8627086,0.014535891
4,4,0.013441615,0.0011857497,-0.005045782,0.0057039484,0.9256335989397462,5,0.9851842202482283,0.9256335989397462,0.9010935103462118,0.03121418450574207,0.0027799525437814045,0.0018512671978794927,0.000478693251116688,0.0006095027236103366,25,12500,500,500.0,500,0.0,0.9995061,-0.00019240125,-0.9990411,0.58981735,1.2299355370941523,5,1.4440253639004992,1.2299355370941523,1.0903646430710474,0.1409728683460529,0.004006162853892625,0.002459871074188306,0.00041564583282052974,0.0008174082554815062,32,15800,500,500.0,500,0.0,15800,0.008731923007871956,80.72147899190895,37.05282909300877,36.97455468901899,0.007283822982572019,6.6740641509532,0.003986076975706965,452.74110128491884,2.9235961847007275e-05,0.3011420667171478,-26.234630584716797,-7.11298,-8.859039,-10.515398,0.4375022,-82.76959,84.37704,80.13526,78.269714,1.0927022,84.47149,80.12003,78.14756,1.105108,84.31094,80.120316,78.015495,1.1069007,0.021645008,0.022860806,5000,0.027624803,0.0013263804,-0.008701482,0.0059732553,-0.05947179,-0.13069241,-0.15551247,0.018189318,0.9422621,0.87763447,0.8559764,0.016247462
5,5,0.019129895,0.0025291757,-0.010524659,0.00993959,0.971902049019255,5,1.0661786463259941,0.971902049019255,0.8939684151593155,0.06254627182992002,0.002940432106556973,0.0019438040980385104,0.0004642238258004999,0.0006183963963217918,30,15000,500,500.0,500,0.0,0.9975633,-0.0023992544,-0.9992513,0.59218085,0.8701370511290337,5,1.2130961135157083,0.8701370511290337,0.691890083971231,0.17868213544622688,0.0036285857680610155,0.001740274102258067,0.00038630937177529733,0.0007199654715016107,37,18300,500,500.0,500,0.0,18300,0.00884578499244526,80.20440861443058,37.3882044859929,36.11373528803233,0.007232935982756317,6.682439255469944,0.003921600989997387,533.2209231197485,2.9262970201671124e-05,0.22309747338294983,-32.77335739135742,-7.175312,-8.846769,-10.2162285,0.43427068,-88.12751,89.152794,86.19685,83.876976,1.0087687,89.19391,86.16893,83.739296,1.0191437,89.15859,86.1525,83.80053,1.0179348,0.010637916,0.011467994,6000,0.034357265,0.0025758494,-0.019641541,0.010062913,-0.04766739,-0.12281843,-0.14649174,0.015551238,0.95345086,0.88453263,0.8637329,0.014031185
6,6,0.008271618,0.00027579188,-0.007044489,0.004801325,0.9816594566388861,5,1.1107921644011705,0.9816594566388861,0.8849494439074225,0.08038823488455553,0.0030284855138544785,0.0019633189132777723,0.0004454349657951356,0.000626462174672511,35,17500,500,500.0,500,0.0,0.9981439,-0.004069565,-0.99925697,0.5940247,0.8959186155844062,5,1.018434551204191,0.8959186155844062,0.7564579675389527,0.10075572677703483,0.003476057304617053,0.0017918372311688132,0.0004273700325524459,0.0006701715481886161,42,20800,500,500.0,500,0.0,20800,0.00860690901754424,79.38264092575992,36.176177332003135,36.497712502023205,0.007236867968458682,6.688959332706872,0.003919275011867285,612.8783924227464,2.8707028832286596e-05,0.16527213156223297,-39.454002380371094,-7.95977,-8.91692,-10.89463,0.4354893,-91.39545,94.52366,89.942894,87.29252,1.0486566,94.44436,89.93196,87.365204,1.0553787,94.46645,89.936676,87.34814,1.0573336,0.0065462454,0.0065470813,7000,0.039048366,0.00049035525,-0.013848656,0.005388281,-0.029663004,-0.12301721,-0.14880417,0.019621365,0.9707726,0.8844219,0.86173785,0.01784434
7,7,0.015639124,0.00079439883,-0.016524337,0.0077785295,0.9011817361004761,5,0.9838470869441757,0.9011817361004761,0.838438443474879,0.05201101553375818,0.0027772987002173057,0.001802363472200952,0.0003512202112457313,0.0006155149127491391,40,20000,500,500.0,500,0.0,0.99879736,-0.0012692163,-0.997888,0.58808637,0.9003326310418448,5,1.4659032234138658,0.9003326310418448,0.6796448505674506,0.2861550977643003,0.005184959539573009,0.0018006652620836902,0.0003015230062818271,0.0009388357663946455,47,23300,500,500.0,500,0.0,23300,0.008688364003319293,78.73770593031077,34.94921216601506,37.32178112899419,0.007235008000861853,6.446938018256333,0.0038231300422921777,691.8806199101964,2.811499871313572e-05,0.12243708223104477,-45.96455383300781,-7.0832787,-8.886237,-11.16705,0.4252678,-92.405334,95.50515,91.3546,89.02983,1.0712652,95.71007,91.32384,89.034485,1.0794156,95.51038,91.33478,89.11329,1.0745198,0.0054706107,0.0048394296,8000,0.07738673,0.0009755635,-0.023534445,0.008344437,-0.0081933495,-0.124453746,-0.14834294,0.019127838,0.9918401,0.8831441,0.8621354,0.017436432
8,8,0.01968974,0.0031810799,-0.015436883,0.008229924,0.9562620420731346,5,1.0064335706377643,0.9562620420731346,0.8969706320842415,0.043455303870075984,0.002821958039428051,0.00191252408414627,0.00047051273665888176,0.0006120357041342629,45,22500,500,500.0,500,0.0,0.99908125,0.004178228,-0.99830186,0.58653784,1.0607950907516082,5,1.3806064113675798,1.0607950907516082,0.6897328272802193,0.28237981406308965,0.003991547077472979,0.002121590181503216,0.0003846234227507609,0.0009685891302675951,52,25800,500,500.0,500,0.0,25800,0.008661818981636316,79.54492388200015,36.533956712984946,36.499534639006015,0.007193054014351219,6.491733581002336,0.0038153210189193487,771.6908479358535,2.8754991944879293e-05,0.09070522338151932,-52.442039489746094,-7.4782925,-8.849571,-10.577719,0.44372252,-91.77053,95.03531,91.003395,88.10234,1.0490105,95.16292,91.00975,88.03124,1.0620856,95.24476,90.96541,88.11849,1.0556742,0.0029822541,0.00483899,9000,0.07212492,0.0032923503,-0.02980579,0.009252183,-0.005225639,-0.12842427,-0.14988911,0.021083817,0.994788,0.87968075,0.8608034,0.019290391
9,9,0.016698599,0.0038092332,-0.016209185,0.008865014,0.9454300881445432,5,1.0159764424852078,0.9454300881445432,0.8958710911767206,0.0418344322802957,0.0028411315158039466,0.0018908601762890865,0.0004681218976334583,0.0006117488217084826,50,25000,500,500.0,500,0.0,0.99763495,0.00462007,-0.9989085,0.58657855,0.9901683438117773,5,1.187386719153704,0.9901683438117773,0.861504227263065,0.10959094764960149,0.0036641332750088017,0.001980336687623555,0.00041863550984619634,0.0006246247305831944,57,28300,500,500.0,500,0.0,28300,0.008666912966873497,79.5333806911367,36.45811406499706,36.527013977989554,0.007193197030574083,6.528542515123263,0.003821778984274715,851.4891389108961,2.8244045097380877e-05,0.0671982690691948,-58.99717712402344,-7.5102043,-8.849934,-11.250915,0.4185147,-90.41053,92.96626,89.788666,86.74126,1.0495167,92.84046,89.83249,86.73583,1.0496871,92.82244,89.81862,86.80834,1.0447656,0.0032293645,0.002410112,10000,0.10859186,0.0038609165,-0.0651023,0.013349176,0.0775832,-0.12819853,-0.15853865,0.031944312,1.0806721,0.8801473,0.85339,0.029992452
